Closing Price~$17.86,,
Closing Bid/Ask Midpoint~$17.99,,
Volume~202,761,
Premium/Discount~-0.17%,,
NAV Date~11/14/2014,,
NAV/Share ~$17.89,,
FX Rate~0.0085996,,
Shares Outstanding~5,6,666
Fund NAV~$89,585,747
