FAST RETAILING CO LTD~9.87%
SOFTBANK CORP~5.62%
FANUC LTD~4.80%
KDDI CORP~3.54%
KYOCERA CORP~2.52%
ASTELLAS PHARMA INC~2.11%
TOKYO ELECTRON LTD~1.80%
SHIN-ETSU CHEMICAL CO LTD~1.73%
HONDA MOTOR CO LTD~1.70%
SECOM CO LTD~1.67%
As of 11/14/2014
