ADVANTEST CORP~45000~0.62%
AEON CO LTD~24000~0.29%
AJINOMOTO INC~20000~0.44%
ALPS ELECTRIC CO LTD~24000~0.53%
AMADA CO LTD~20000~0.21%
ALL NIPPON AWYS CO LTD ANA~30000~0.08%
AOZORA BANK LTD~20000~0.08%
ASAHI GLASS CO LTD~20000~0.11%
ASAHI GROUP HOLDINGS LTD~24000~0.81%
ASAHI KASEI CORP~20000~0.19%
ASTELLAS PHARMA INC~120000~2.11%
BANK OF YOKOHAMA LTD~20000~0.13%
BRIDGESTONE CORP~24000~0.90%
CANON INC~35000~1.24%
CASIO COMPUTER CO LTD~24000~0.38%
CENTRAL JAPAN RAILWAY CO NAGOYA~2000~0.35%
CHIBA BANK LTD~20000~0.16%
CHIYODA CORP~20000~0.22%
CHUBU ELECTRIC POWER CO INC~3000~0.04%
CHUGAI PHARMACEUTICAL CO LTD~24000~0.79%
CITIZEN HOLDINGS CO LTD~24000~0.20%
COMSYS HOLDINGS CORP TOKYO~24000~0.42%
CREDIT SAISON CO LTD FORMERLY SEIBU CREDIT CO LTD~24000~0.55%
DAI NIPPON PRINTING CO LTD~20000~0.21%
DAI-ICHI LIFE INSURANCE CO LTD~3000~0.05%
DAIICHI SANKYO CO LTD, TOKYO~24000~0.41%
DAIKIN INDUSTRIES LTD~24000~1.66%
DAIWA HOUSE INDUSTRY CO LTD~20000~0.45%
DAIWA SECURITIES GROUP INC~20000~0.19%
DENKI KAGAKU KOGYO KK~30000~0.12%
DENSO CORP~23000~1.23%
DENTSU INC TOKYO~24000~1.04%
DOWA HOLDINGS CO LTD~20000~0.18%
EAST JAPAN RAILWAY CO~2000~0.17%
EBARA CORP~20000~0.11%
EISAI CO LTD~23000~0.99%
FANUC LTD~24000~4.80%
FAST RETAILING CO LTD~23000~9.87%
FUJI ELECTRIC HOLDINGS CO LTD~30000~0.15%
FUJI HEAVY INDUSTRIES LTD~20000~0.81%
FUJIFILM HOLDINGS CORPORATION~23000~0.91%
FUJIKURA LTD~20000~0.09%
